
-1.18,1.17
0.72,1.2
0.09,1.08
-0.25,0.38
-0.74,-0.59
1.11,-0.96
-1.25,-0.9
1.26,-1.4
0.27,0.16
0.83,1.25
0.42,-0.75
-0.69,-1.33
0.53,-0.18
1.47,0.98
1.30,-0.53
0.77,1.37
0.18,0.4
1.31,0.25
0.18,1.06
0.80,-0.69
0.21,0.6
1.44,-0.59
-1.34,0.97
0.93,0.58
-0.32,1.29
-1.05,-0.03
-0.59,-0.06
0.67,-0.2
0.42,0.92
0.31,0.29
-5.00,0.48
-4.50,2.519449472
-4.00,2.85
-3.50,3.610714214
-3.00,4.24
-2.50,4.400127019
-2.00,4.182575695
-1.50,4.669696007
-1.00,5.318979486
-0.50,5.314937186
0.00,4.71
0.50,5.124937186
